185259483,796,99,6,6,29,22,19,17
307990280,316,100,3,6,21,25,24,21
387178621,118,5,0,1,1,2,1,0
300560295,356,0,0,0,0,0,0,0
318185328,837,88,9,9,19,21,11,19
363326796,159,2,0,0,0,0,1,1
73764693,651,0,0,0,0,0,0,0
31273263,328,2,0,0,1,1,0,0
279955276,326,30,5,1,1,6,5,12
144167463,778,191,9,14,39,43,37,49
364325969,380,50,2,4,8,11,13,12
302038263,285,23,4,3,6,3,4,3
176983267,362,90,4,6,24,22,13,21
308751185,377,77,1,6,18,22,18,12
341550561,118,41,0,4,9,12,11,5
140757590,268,17,1,0,2,4,6,4
140084919,174,39,2,1,6,12,9,9
177118376,342,73,6,9,10,18,17,13
388179896,251,21,1,1,4,5,2,8
177308817,225,0,0,0,0,0,0,0
142013583,258,41,3,2,6,13,8,9
31415131,283,19,1,3,5,6,2,2
146530594,618,5,0,0,0,2,1,2
167719897,326,63,5,6,18,13,11,10
391906858,834,250,11,19,51,65,52,52
349911034,318,0,0,0,0,0,0,0
349642881,463,33,1,1,10,11,7,3
150101472,393,27,1,1,3,9,8,5
22221233,813,97,8,7,20,24,27,11
93997745,176,49,4,5,14,12,7,7
177258700,244,26,0,1,6,4,7,8
189639080,747,4,0,1,0,1,1,1
382069441,427,37,1,4,9,10,7,6
349518145,442,8,0,0,2,1,1,4
289801742,816,91,2,8,16,23,25,17
106309554,645,101,9,14,25,18,15,20
468997317,327,20,0,3,6,7,3,1
167005326,280,0,0,0,0,0,0,0
321312438,422,41,1,3,10,6,8,13
450276745,469,43,2,4,11,14,5,7
135244338,649,177,6,22,43,43,32,31
181226974,644,39,1,2,7,10,11,8
5981829,779,89,2,7,22,25,21,12
293081694,714,28,4,1,5,4,8,6
457427613,427,0,0,0,0,0,0,0
167722431,411,75,3,3,15,18,19,17
167692491,353,111,8,4,17,31,25,26
294206967,462,32,1,2,2,7,10,10
228760807,713,82,8,10,18,14,19,13
295885511,85,5,1,0,1,1,1,1
38586438,365,22,3,1,6,5,3,4
398850090,91,1,0,0,0,1,0,0
73177813,646,38,0,2,8,8,11,9
30313682,294,21,1,1,4,5,3,7
308085294,314,0,0,0,0,0,0,0
300293197,330,0,0,0,0,0,0,0
364302118,403,23,3,1,3,2,7,7
272357134,48,0,0,0,0,0,0,0
318986273,412,42,1,7,13,12,8,1
261677352,139,33,0,3,6,11,5,8
