124205037,702,48,2,10,11,10,5,10
307488184,356,4,1,0,0,1,1,1
82580956,184,5,0,2,0,1,1,1
271701447,160,22,2,4,3,3,4,6
141622065,273,58,4,5,11,12,15,11
398763011,151,10,2,3,1,2,2,0
308851582,431,19,0,1,0,5,6,7
260162199,442,118,7,8,34,21,25,23
25078924,320,13,1,0,5,2,2,3
124604724,805,80,7,10,15,14,17,17
381948745,448,57,4,7,15,14,8,9
181159386,670,22,4,1,5,1,4,7
306130391,335,27,2,4,6,6,3,6
220474209,468,62,7,7,13,16,13,6
141766191,293,147,6,11,35,37,30,28
279615979,450,116,13,8,26,26,20,23
176910080,839,66,3,9,14,13,8,19
102764828,677,0,0,0,0,0,0,0
468162834,205,0,0,0,0,0,0,0
142105466,313,117,6,8,27,26,29,21
141127435,304,171,10,19,43,40,32,27
57652994,731,60,3,3,13,13,13,15
266845051,129,68,6,12,11,13,12,14
462267926,248,19,0,4,5,2,3,5
55524055,410,33,4,4,4,4,7,10
307433122,206,0,0,0,0,0,0,0
452500843,37,3,0,1,0,1,1,0
349790953,435,40,3,1,8,10,7,11
150442264,460,22,0,1,6,8,3,4
32449963,842,41,3,4,8,8,10,8
92902951,249,58,5,6,9,11,14,13
467167691,103,50,10,10,11,8,6,5
415873588,779,119,4,5,28,30,25,27
288027491,43,0,0,0,0,0,0,0
141685465,266,18,0,1,3,6,5,3
178859380,690,73,4,12,12,14,20,11
29777922,355,61,6,9,15,16,10,5
55404385,390,32,2,0,7,7,7,9
124282575,696,54,4,4,16,15,4,11
303441920,291,139,6,15,36,30,28,24
163648025,562,47,3,7,7,13,9,8
355152971,351,61,2,4,13,16,13,13
271596290,53,0,0,0,0,0,0,0
459809633,454,37,3,8,8,7,6,5
308184924,291,19,1,4,7,5,1,1
167654878,393,197,11,16,44,49,30,47
1630690,816,388,24,25,89,96,81,73
437322147,836,10,0,2,2,1,3,2
124095230,673,0,0,0,0,0,0,0
452631268,47,0,0,0,0,0,0,0
370101325,265,109,6,7,20,29,25,22
350480660,445,17,1,2,6,3,1,4
300871545,224,16,1,1,2,7,5,0
219699532,830,237,18,22,51,61,43,42
309658221,425,29,4,1,9,8,4,3
167692429,374,24,3,1,5,8,4,3
459293335,449,0,0,0,0,0,0,0
458859364,444,109,15,23,27,21,17,6
462785373,393,0,0,0,0,0,0,0
446832107,226,12,0,2,5,2,1,2
433277449,149,0,0,0,0,0,0,0
298700310,190,34,5,7,5,6,7,4
279089927,456,231,16,23,43,53,47,49
382517745,384,6,0,1,1,1,1,2
453097744,93,21,0,2,4,3,5,7
402447670,119,49,6,14,8,9,8,4
458474559,178,21,3,1,5,6,3,3
348897766,393,107,4,7,16,29,24,27
140659980,277,8,0,0,4,3,1,0
23328912,718,18,0,4,5,5,3,1
165458777,690,173,5,15,40,46,27,40
29778064,365,101,4,6,22,26,19,24
410654298,119,4,1,1,0,0,1,1
349308842,404,20,1,3,2,3,7,4
303811839,198,4,0,0,0,2,2,0
219912046,173,29,2,4,5,7,8,3
302995864,258,67,5,4,12,15,17,14
5868998,780,42,3,3,7,8,10,11
370101492,243,31,2,6,8,4,6,5
422327572,809,270,15,15,57,66,52,65
97908039,794,174,8,19,37,34,37,39
341193555,439,7,0,1,1,1,1,3
260536927,435,0,0,0,0,0,0,0
317642317,165,31,4,8,7,6,3,3
278956474,477,19,2,2,2,2,5,6
260132330,475,19,1,0,6,8,3,1
55497281,465,17,1,4,3,3,4,2
401227592,594,122,8,14,27,20,20,33
386166904,161,16,3,2,2,3,3,3
425064757,345,33,0,2,8,11,5,7
177077475,291,2,0,1,1,0,0,0
238196979,236,4,0,0,1,2,1,0
287328866,411,27,3,5,9,5,2,3
149573659,440,18,2,2,1,3,3,7
399144800,112,0,0,0,0,0,0,0
162585265,569,156,12,14,36,35,31,28
22457438,821,84,8,7,18,20,16,15
98628827,829,0,0,0,0,0,0,0
158713903,692,93,5,5,19,23,23,18
321455348,416,24,4,4,4,4,5,3
450637853,159,57,7,14,7,10,8,11
142109430,126,52,4,3,10,13,11,11
231075361,322,184,11,16,48,46,29,34
280667311,131,66,8,14,16,14,9,5
167890109,386,50,0,4,13,11,11,11
319936228,394,16,0,1,2,5,5,3
30034081,283,0,0,0,0,0,0,0
309257814,397,0,0,0,0,0,0,0
308457026,399,239,19,12,45,53,56,54
399423563,97,8,1,1,1,1,2,2
147026702,650,77,7,6,11,18,18,17
158673914,683,123,7,10,26,28,26,26
318825030,430,25,4,10,5,2,3,1
347809861,799,161,10,17,41,34,28,31
296449358,171,93,11,18,17,16,17,14
349154435,403,19,1,1,4,5,4,4
260128333,434,8,0,2,4,1,1,0
282051803,41,8,1,1,0,0,1,5
363149298,175,27,3,6,5,5,4,4
382067804,472,8,0,0,2,2,3,1
399253092,87,7,1,1,1,3,1,0
15445546,526,48,0,4,13,8,6,17
452734608,831,0,0,0,0,0,0,0
298079609,187,46,5,7,8,11,11,4
382028425,531,22,2,1,4,2,5,8
279569707,523,47,2,4,12,10,11,8
308451526,413,44,1,4,12,10,7,10
231810776,543,21,1,1,5,1,10,3
147214032,642,83,6,5,15,21,20,16
443494454,173,21,3,6,2,5,4,1
350622185,436,84,5,9,24,18,15,13
408552008,807,76,6,8,7,11,22,22
437297176,792,85,2,7,16,25,17,18
21827849,683,79,4,9,14,19,16,17
382512330,511,212,12,21,44,45,46,44
141333573,53,2,0,0,1,1,0,0
131625230,177,0,0,0,0,0,0,0
220359766,183,0,0,0,0,0,0,0
260131665,486,117,8,13,27,21,23,25
278683641,390,29,1,1,7,6,6,8
309146836,438,15,0,2,4,5,2,2
439519959,161,28,5,7,2,3,2,9
83135408,838,165,11,13,33,40,45,23
260502102,473,12,0,1,2,2,3,4
318512022,345,0,0,0,0,0,0,0
299702740,188,45,7,9,6,9,7,7
390554357,782,162,13,16,32,27,36,38
118313102,169,12,0,1,5,4,1,1
248111238,608,39,1,3,4,7,8,16
142262969,723,30,1,2,8,7,3,9
388129029,318,98,3,7,18,16,22,32
141914317,223,52,3,7,12,11,8,11
94637805,560,154,6,20,36,41,28,23
167526485,442,27,1,1,4,6,10,5
141809359,262,2,0,1,1,0,0,0
258314976,617,51,5,4,11,12,7,12
324675819,437,20,1,6,5,4,4,0
350479101,468,10,1,0,2,2,4,1
141268467,133,19,1,1,3,5,5,4
382188882,534,12,1,3,2,0,2,4
89787778,136,35,3,9,9,7,4,3
358111274,207,0,0,0,0,0,0,0
248074315,698,21,1,4,6,5,4,1
178889597,692,74,7,7,17,15,12,16
162585282,573,138,9,11,36,27,25,30
438942374,163,20,2,4,2,6,3,3
467238286,404,112,11,31,25,17,15,13
333127661,558,57,2,8,11,11,12,13
281924357,41,0,0,0,0,0,0,0
142148228,235,20,1,0,5,6,6,2
356524567,412,42,2,2,14,11,7,6
405177882,610,14,1,0,2,3,3,5
364392434,368,46,2,6,14,9,6,9
286191384,734,93,8,10,20,14,23,18
350443417,490,69,5,7,16,14,11,16
458199516,421,0,0,0,0,0,0,0
