185259483,837,98,4,10,21,20,14,29
307990280,314,169,9,12,29,35,44,40
387178621,121,5,0,0,2,2,1,0
300560295,346,0,0,0,0,0,0,0
318185328,869,110,10,10,22,17,23,28
363326796,168,1,0,0,1,0,0,0
73764693,678,0,0,0,0,0,0,0
31273263,317,2,0,0,0,1,1,0
279955276,301,28,0,0,5,6,6,11
144167463,825,407,24,33,87,93,83,87
364325969,388,119,8,4,30,32,24,21
302038263,293,44,2,5,14,9,9,5
176983267,352,151,5,14,34,29,34,35
308751185,358,171,9,17,36,44,37,28
341550561,95,30,1,1,2,8,10,8
140757590,246,34,1,4,10,9,4,6
140084919,190,103,6,11,21,23,19,23
177118376,345,155,15,19,41,35,23,22
388179896,241,27,1,3,8,7,2,6
177308817,251,0,0,0,0,0,0,0
142013583,293,135,16,8,30,31,23,27
31415131,303,60,4,1,12,16,10,17
146530594,619,3,0,0,0,1,1,1
167719897,383,182,16,17,41,44,35,29
391906858,839,496,28,43,109,108,98,110
349911034,372,0,0,0,0,0,0,0
349642881,426,21,2,0,7,4,3,5
150101472,404,21,0,4,2,4,8,3
22221233,797,97,5,6,25,23,21,17
93997745,199,104,6,11,23,29,20,15
177258700,265,29,1,1,1,7,6,13
189639080,755,26,2,2,5,4,4,9
382069441,443,177,8,14,39,44,35,37
349518145,425,2,0,0,1,1,0,0
289801742,843,202,7,11,49,43,41,51
106309554,639,79,4,7,21,23,16,8
468997317,331,22,0,0,4,8,4,6
167005326,266,0,0,0,0,0,0,0
321312438,436,36,1,5,8,10,4,8
450276745,445,94,3,7,24,29,19,12
135244338,662,326,22,27,74,82,57,64
181226974,670,32,2,3,10,7,5,5
5981829,836,174,10,15,34,36,34,45
293081694,747,36,4,2,7,10,9,4
457427613,437,0,0,0,0,0,0,0
167722431,404,123,2,8,18,32,30,33
167692491,355,178,8,12,33,52,44,29
294206967,481,38,1,4,5,8,9,11
228760807,712,104,7,7,34,24,17,15
295885511,80,15,3,1,4,4,2,1
38586438,355,18,1,4,6,6,1,0
398850090,90,4,0,0,0,0,1,3
73177813,662,32,2,4,9,8,5,4
30313682,343,32,5,2,9,4,4,8
308085294,306,0,0,0,0,0,0,0
300293197,334,0,0,0,0,0,0,0
364302118,367,54,4,9,8,11,13,9
272357134,30,0,0,0,0,0,0,0
318986273,381,82,3,2,20,27,20,10
261677352,158,60,3,5,14,17,14,7
355151781,379,187,15,18,43,37,32,42
276935987,345,71,4,6,21,16,12,12
349480507,369,28,1,2,6,7,4,8
72121778,615,35,0,5,8,10,5,7
390549095,439,109,1,13,32,31,20,12
300443831,295,86,6,3,18,22,19,18
167338355,289,73,6,10,21,16,8,12
294784522,275,106,8,7,24,30,22,15
347752831,833,0,0,0,0,0,0,0
