60,69,184,180,146,157,796
14,24,62,70,67,79,316
5,13,29,30,20,21,118
23,28,86,84,61,74,356
50,70,180,192,168,177,837
8,15,36,38,34,28,159
38,57,145,150,127,134,651
21,24,71,76,61,75,328
22,28,73,72,62,69,326
44,61,171,177,153,172,778
26,31,81,93,73,76,380
23,31,70,59,45,57,285
21,34,83,77,66,81,362
26,38,91,87,70,65,377
5,10,18,30,32,23,118
19,16,57,61,57,58,268
11,17,39,43,34,30,174
21,29,70,82,76,64,342
13,15,53,60,48,62,251
12,13,53,54,45,48,225
20,22,52,61,56,47,258
20,21,64,70,50,58,283
37,52,133,140,125,131,618
23,33,76,65,64,65,326
51,67,188,199,166,163,834
21,30,77,71,55,64,318
29,39,101,102,89,103,463
21,32,87,98,80,75,393
49,64,199,189,157,155,813
12,18,45,41,31,29,176
11,15,58,56,50,54,244
45,60,161,165,151,165,747
22,38,88,97,91,91,427
23,36,98,100,80,105,442
51,64,186,179,161,175,816
29,61,135,153,138,129,645
20,23,85,100,60,39,327
15,19,60,62,59,65,280
19,35,118,109,69,72,422
21,45,124,116,82,81,469
41,55,135,150,130,138,649
36,57,142,146,136,127,644
42,56,178,184,160,159,779
45,57,169,162,135,146,714
23,36,115,113,77,63,427
24,29,87,89,88,94,411
27,22,67,79,76,82,353
26,37,105,109,91,94,462
50,67,164,155,139,138,713
7,8,18,19,14,19,85
23,28,76,83,77,78,365
7,11,21,23,14,15,91
43,54,144,147,131,127,646
20,20,72,73,55,54,294
21,24,71,72,60,66,314
24,26,69,77,67,67,330
24,39,90,80,79,91,403
5,5,12,9,7,10,48
20,42,128,117,69,36,412
10,12,35,34,26,22,139
25,26,77,82,79,96,385
19,32,72,62,66,56,307
17,25,70,89,76,82,359
36,49,131,140,123,118,597
20,37,116,116,72,54,415
14,21,58,71,57,55,276
15,23,67,75,52,39,271
23,19,58,62,56,54,272
47,64,188,199,174,158,830
30,43,95,94,87,79,428
25,38,96,108,99,103,469
44,62,170,170,145,144,735
44,58,173,185,170,168,798
45,62,183,178,167,163,798
26,30,82,79,70,71,358
8,17,39,40,44,44,192
33,41,105,114,89,96,478
18,25,66,84,78,78,349
33,50,127,124,103,107,544
22,34,87,99,87,88,417
19,47,115,119,81,54,435
39,60,145,141,124,121,630
42,55,156,149,130,140,672
24,25,79,83,72,68,351
43,60,162,155,140,163,723
17,39,114,107,68,50,395
26,36,115,114,72,50,413
20,38,115,109,78,63,423
34,54,141,155,136,135,655
18,25,56,62,52,43,256
29,36,97,108,92,92,454
26,27,68,72,78,87,358
34,46,126,142,123,121,592
21,36,96,104,94,91,442
43,59,158,153,130,140,683
51,68,172,184,184,194,853
26,30,72,64,61,76,329
11,29,91,88,52,31,302
5,8,19,13,11,13,69
28,45,113,111,104,98,499
45,70,179,185,144,151,774
30,32,96,113,90,89,450
54,65,179,181,160,159,798
29,37,104,97,79,87,433
28,38,95,84,74,90,409
41,58,157,170,140,144,710
13,21,53,44,28,31,190
15,35,104,91,56,47,348
13,12,31,34,26,35,151
32,38,95,107,87,91,450
19,37,94,81,64,58,353
48,60,156,168,152,136,720
21,28,85,88,66,57,345
24,38,126,141,87,66,482
33,41,105,114,88,93,474
20,39,113,112,68,52,404
23,26,72,72,73,95,361
21,35,97,103,83,92,431
19,24,69,76,69,77,334
44,60,167,186,161,148,766
12,27,58,64,61,50,272
25,52,142,137,102,73,531
13,19,50,37,36,40,195
19,23,58,59,51,53,263
36,56,141,145,124,137,639
47,60,162,182,150,162,763
37,58,144,146,126,134,645
33,44,98,108,99,103,485
45,59,177,186,168,163,798
20,44,133,130,92,80,499
12,22,67,74,44,28,247
25,45,124,127,86,64,471
17,38,115,101,74,68,413
35,54,136,145,125,124,619
23,26,76,89,81,74,369
31,53,148,149,126,131,638
46,63,178,189,167,168,811
15,26,73,85,73,55,327
27,51,156,160,108,86,588
9,17,49,50,42,37,204
47,58,167,165,139,143,719
21,30,75,71,58,62,317
11,15,40,44,36,36,182
6,14,29,38,29,23,139
17,22,48,56,49,48,240
16,17,61,67,51,37,249
25,36,95,88,71,77,392
32,36,104,100,82,96,450
22,25,77,77,66,74,341
44,61,161,164,141,158,729
34,39,106,107,87,94,467
35,53,151,148,127,140,654
18,35,91,94,63,60,361
29,38,96,101,88,74,426
16,21,55,47,55,57,251
25,40,105,113,96,86,465
47,68,174,187,174,180,830
37,48,128,133,125,124,595
13,40,93,95,69,53,363
17,25,67,72,58,65,304
11,21,52,65,54,54,257
42,60,150,155,143,147,697
20,39,120,118,74,63,434
19,47,134,140,95,63,498
21,33,93,93,74,77,391
14,14,42,37,36,29,172
4,6,6,5,8,8,37
26,30,80,102,84,73,395
29,27,81,90,87,85,399
41,59,176,180,166,160,782
22,24,59,48,42,50,245
15,25,91,96,50,37,314
42,67,179,175,156,158,777
3,7,7,5,8,8,38
14,17,45,46,54,55,231
33,51,139,155,134,127,639
18,27,69,70,63,60,307
20,31,70,74,72,78,345
43,58,169,157,125,143,695
24,29,73,57,41,45,269
38,48,135,140,111,111,583
23,24,67,72,76,91,353
7,7,10,17,13,8,62
22,42,122,131,84,73,474
21,25,67,62,46,50,271
30,26,80,82,75,88,381
47,72,173,162,154,150,758
47,66,188,175,160,168,804
38,60,173,161,131,134,697
4,5,6,8,5,7,35
17,18,59,69,54,49,266
30,43,107,107,97,95,479
16,19,46,41,43,40,205
50,65,175,172,161,157,780
29,42,90,89,86,84,420
27,24,67,81,76,82,357
23,40,109,124,80,60,436
26,36,115,112,72,52,413
26,34,118,119,80,68,445
21,50,149,137,92,76,525
11,16,26,26,21,26,126
15,11,43,43,34,30,176
30,37,96,95,81,99,438
21,30,78,75,69,87,360
8,9,11,19,17,24,88
2,6,13,21,17,23,82
23,49,128,128,89,74,491
22,31,77,85,73,85,373
16,18,53,51,48,49,235
36,54,149,152,133,130,654
41,54,151,142,121,143,652
21,33,75,70,63,57,319
12,39,88,77,61,52,329
30,38,91,84,75,91,409
22,55,142,138,90,70,517
26,52,142,129,76,73,498
10,20,54,69,67,76,296
43,56,179,176,155,151,760
18,23,62,57,41,47,248
47,55,177,178,168,164,789
39,60,168,179,156,152,754
26,36,93,81,67,66,369
28,30,81,84,77,93,393
17,29,89,84,59,59,337
31,38,102,107,96,109,483
31,40,108,106,84,90,459
24,32,86,95,82,78,397
34,48,122,114,99,127,544
11,12,30,31,28,31,143
24,32,75,77,70,57,335
16,16,50,67,53,66,268
19,20,57,59,46,46,247
25,29,92,97,85,98,426
28,35,88,101,87,80,419
6,12,19,22,19,24,102
34,45,123,115,100,112,529
43,64,177,177,167,158,786
45,69,175,174,166,164,793
38,56,149,155,133,134,665
15,37,103,102,67,63,387
11,17,44,45,39,41,197
11,9,28,18,19,17,102
20,29,77,71,63,68,328
15,27,77,76,52,56,303
25,35,83,101,79,78,401
18,39,120,111,66,38,392
20,17,56,65,49,54,261
26,28,89,82,75,82,382
22,31,81,88,88,87,397
5,14,20,19,15,16,89
37,48,130,139,129,128,611
35,56,153,157,132,129,662
17,43,120,124,82,50,436
51,58,176,176,149,156,766
8,19,45,46,34,37,189
29,41,92,87,71,76,396
33,33,83,96,85,88,418
7,5,9,6,6,8,41
25,35,118,109,60,64,411
34,42,109,101,98,115,499
6,11,16,18,15,21,87
29,45,106,121,111,101,513
47,64,185,188,163,170,817
10,30,82,103,71,41,337
30,45,99,107,101,94,476
21,36,96,103,93,93,442
26,32,89,93,91,83,414
36,45,115,113,97,112,518
33,46,135,143,120,137,614
16,46,147,146,99,80,534
26,33,101,107,82,102,451
48,63,191,186,157,162,807
43,66,176,157,145,141,728
42,58,148,152,133,132,665
25,44,106,107,89,111,482
2,0,6,9,9,12,38
23,44,146,143,104,73,533
25,53,137,133,87,73,508
31,38,114,109,80,98,470
23,28,90,97,85,87,410
27,34,85,96,85,80,407
21,33,96,104,70,56,380
42,69,179,181,163,167,801
24,32,79,81,80,94,390
17,39,95,93,67,50,361
17,12,49,50,27,31,186
41,55,174,173,145,156,744
9,11,37,36,25,25,143
37,49,129,123,101,112,551
39,55,159,161,125,123,662
20,23,72,82,59,66,322
15,24,63,65,49,50,266
25,45,125,135,105,109,544
26,31,97,102,85,87,428
10,12,48,53,53,60,236
42,55,132,128,114,124,595
17,33,108,111,80,74,423
30,37,97,108,82,83,437
7,9,24,27,29,28,124
28,37,110,115,103,103,496
